Mes pago tarjeta;Fecha gasto;descripcion;importe;Tarjeta;Cuota;Con cuota;cantidad cuotas;Cierra;Vence;¿ Vencido ?;Agrupado;actual y proximo;Cuota Finalizada;tipo
44378;44376;DIA;-849,86;VISA SANTANDER;1;No;1;44385;44396;Vencido;GASTO;No;VERDADERO;REAL
44378;44380;FUTBOL;-820;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44382;POLLERIA;-1473;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44383;JABON LIQUIDO;-700;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44381;COMIDA AMIGOS;-700;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44378;VERDULERIA;-826;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44382;VERDULERIA;-590;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44387;VERDULERIA;-1000;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44371;PAGO DE MAS;5890;VISA SANTANDER;1;No;1;44385;44396;Vencido;GASTO;No;VERDADERO;REAL
44409;44387;PEDIDOS YA;-1352;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44409;44387;DIA;-2779,45;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44409;44389;HERBALIFE;-2700;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44409;44389;QUESERIA DE MI;-1436;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44409;44390;DIA;-2282,1;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44409;44391;REGALO ERIC;-2304;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44378;44392;POLLERIA;-2200;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44392;VERDULERIA;-1100;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44392;DIETETICA;-1510;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44394;MEDIALUNAS;-700;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44396;GIMNASIO;-2400;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44396;SUPERMERCADO CHINO;-430;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44396;VERDULERIA;-270;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44409;44393;HELADERIA;-990;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
44409;44393;FARMACITY;-677,34;VISA SANTANDER;1;No;3;44413;44421;Vencido;GASTO;No;FALSO;REAL
44440;44393;FARMACITY;-677,34;VISA SANTANDER;2;No;3;44448;44459;Vencido;GASTO;No;FALSO;REAL
44470;44393;FARMACITY;-677,34;VISA SANTANDER;3;No;3;44476;44487;Vencido;GASTO;No;VERDADERO;REAL
44378;44397;SALIDA AMIGOS;-600;GASTOS NO CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44399;VERDULERIA;-1350;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44378;44399;CARNICERIA;-1248;GASTOS CORRIENTES;1;No;1;44378;44378;Vencido;GASTO;No;VERDADERO;REAL
44409;44398;FARMACITY;-1435;VISA SANTANDER;1;No;1;44413;44421;Vencido;GASTO;No;VERDADERO;REAL
